Jumpshare, {{rarely|}}2 GB free  1 TB paid, {{rarely|}}250 MB free  Unlimited paid, {{rarely|}}5GB per month free  200GB per month on paid plan, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{free|2}}, , , Real-time file sharing with built-in utilities for screenshots  screencasts  notes  and voice clips.
MediaFire[45], {{rarely|}}{{nts|10}} GB  +{{nts|50}} GB for referrals up to {{nts|1}} TB Pro accounts; {{nts|100}} TB Business accounts, {{rarely|}}{{nts|20}} GB[46], {{some|}} {{nts|10}} TB pro plan  Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.[47], {{Yes}}, {{Yes}}, {{No}}[48], {{Yes}}, ?, {{Yes}}, {{free|10}}, , , Resuming of interrupted downloads possible.
Mega[49], {{rarely|}}{{nts|15}} GB free  up to {{nts|50}} GB free trial [50] up to {{nts|8}} TB paid, {{good|}}Available cloud drive space[51], {{some|}} {{nts|10}} GB free  Up to {{nts|96}} TB per month paid.[52], {{no}}, {{yes}}, {{no}}, {{yes}}[53], ?, {{yes}}, {{free|15}}, , , Apps for Windows  macOS  Linux  iOS  Android  Windows Phone  Blackberry  Chrome  Firefox  Safari[54] Supports HTML5 browsers.[55]
OneDrive[56], {{rarely|}}{{nts|5}} GB free (since 31 January 2016){{refn|group=Note|Previously 15 GB[57] and 25 GB since 2008[58].}} +500 MB free for referrals up to 5 GB; {{nts|200}} GB paid[59] 1 TB with paid Office 365 account by default  but can be increased without limit.[60][61], {{rarely|}}{{nts|10}} GB[62], {{yes|None}}, {{yes}}, {{yes}}[63], {{no}}[64], {{yes}} (Office files only), {{no}}[65], ?, {{free|5}}, , , Fetch files allows remote access of files on Windows with OneDrive installed[66] 25 GB free for grandfathered accounts before April 2012[67]
SecureSafe[68], {{some|}} 100MB free  up to 100GB paid [69], ? 2GB limit for SecureSend, {{Yes|None}}, {{no}}, {{no}}, {{No}}, {{no}}[68], ?, {{yes}}, {{free|0.1}}, , , Offers Data Inheritance [70]
SugarSync[71], {{some|}} {{nts|60}} GB personal paid  Unlimited GB professional paid, {{yes|None}}, {{some|}}10 GB/file/day free  250 GB file/day paid, {{no}}, {{yes|}}REST[72], ?, {{Yes}}, ?, {{No}}, {{nonfree|0}}, , , If you hit the limit your links will be disabled for 24 hours. The bandwidth limits only apply to public links.[73]
Tencent Weiyun[74], {{rarely|}}{{nts|2}} TB (10 GB free), {{rarely|}}1 GB regular upload  32 GB Power Upload plug-in, {{yes|None}}, {{no}}, {{no}}, {{no}}, {{no}}, ?, {{no}}, {{free|10}}, , , In English and Chinese (free version in Chinese only)
TitanFile, {{rarely|}} No free space  unlimited paid, {{rarely|}}{{nts|100}} MB free  {{nts|1}} GB paid  {{nts|4}} GB professional, {{yes|None}}, {{no|}}No, {{yes}}[75], {{yes}} For enterprise clients only, {{yes}}[76], ?, {{yes}} for paid plans[77], {{nonfree|0}}, , , HIPAA-compliant  group messaging  audit logs  granular security control  embedable on website.
Tresorit[78], {{rarely|}} 3 GB free trial  100-1000 GB paid plans[79], {{rarely|}} 500 MB free  5 GB premium  10 GB rest of paid plans[80], {{yes|None}}, {{no}}, {{no}}, {{No}}, {{some|For paid plans only}}[81], {{no}}, {{yes}}[82], {{free|3}}, , , Files stored in Tresorit are encrypted using the most advanced encryption methods. No one  not even Tresorit administrators hold the users' decryption keys.
Wasbi, {{rarely|}} unlimited. paid only.[83], ?, ?, ?, {{yes}}, ?, ?, ?, ?, {{no|0}}, {{yes}}, ?, 
Yandex Disk, {{rarely|}} up to 20 GB free (10 GB when registering)  up to 1024 GB paid, {{rarely|}} 2 GB upload via Web or WebDAV  50 GB upload via application, 200% of storage size per day, {{no}}, {{yes}}: REST  WebDAV  SDK[84], {{no}}, {{no}}, ?, {{no}}, {{free|10}}, , , English  Russian  Ukrainian and Turkish interfaces. Service is tightly integrated with other Yandex services. Native apps for Windows  macOS  Linux  iOS  Android. Client-side encryption is available with 3rd party open source clients.
Web host, Storage size, Max. file size, Traffic or bandwidth limit, Remote uploading?, Developer API?, FTP upload possible?, File versioning, Follows symlinks, Client-side encryption[1], Free GB (number only), Append-only support? [2], Lifecycle Policy support?, Misc. notes
